features,label
"[ 6.3540859e+00  2.1768043e+00  2.3446571e+01 -4.3830982e-01
 -8.4534588e+00 -1.4794196e-01  7.0477934e+00 -3.6780795e-01
  1.8197140e+00 -3.3186900e-04 -6.5266624e-02 -2.6857200e-01
  2.4447374e+00 -5.3006835e-02  3.8258735e-02 -1.5868798e-01
  4.9175602e-01 -1.4928518e-01  9.3463719e-01 -1.5105064e-01
  3.2798495e-02 -1.6624621e-01  1.4117773e-01 -1.8116628e-01
  3.7832803e-01 -1.7980666e-01 -3.2637337e-01 -1.4537871e-01
 -1.1984721e-02 -1.7310594e-01 -1.0962228e-01 -1.3192685e-01
 -9.5271125e-02 -1.3087910e-01 -1.9652496e-01 -1.3225681e-01
 -1.9985473e-02 -1.2446735e-01 -4.1497028e-01 -1.4873296e-01]",congolese hip hop and rap
"[-2.5184374e+01  7.7229128e+00  2.9224483e+01  7.2416705e-01
  5.0022423e-01  2.1553805e+00 -5.1779256e+00  9.4779134e-01
  1.0256809e+00  1.9278656e-01  2.5818343e+00  5.2711105e-01
 -5.2697271e-01  4.7679037e-01 -1.8868202e+00  1.7279245e-01
 -7.8404748e-01  1.5517087e-01  1.9324850e-02  2.2287507e-01
 -2.1238980e-01  1.0564450e-01 -5.3843945e-01  1.0694515e-02
 -6.0751545e-01  8.6218953e-02 -1.5723354e-01  8.0434904e-02
  3.3346799e-01 -1.6093236e-01 -2.2602275e-01  4.2315140e-02
  9.9394778e-03  5.2102402e-02 -6.3971257e-01 -1.9996980e-01
  1.8582310e-01 -1.1592558e-02 -1.9090632e-01 -3.5053499e-02]",congolese hip hop and rap
"[ 1.8562604e+00  3.1284349e+00  2.3664066e+01 -2.8056529e-01
 -7.3124938e+00 -2.3042042e-02  7.8864350e+00 -4.2065990e-01
 -2.1723483e-02  4.3155666e-02  6.7848794e-02 -3.6218974e-01
  2.5980606e+00 -1.6471471e-01 -7.6804137e-01 -2.3631291e-01
  5.3035766e-01 -1.6085006e-01  7.2411430e-01 -1.7232665e-01
 -4.6173476e-02 -1.6272326e-01  3.5777226e-01 -1.4051481e-01
  2.5428012e-01 -1.6247258e-01 -7.9773992e-01 -1.2635110e-01
  1.2269058e-01 -1.6815543e-01 -6.1852757e-02 -1.2403884e-01
 -4.1493776e-01 -1.4351137e-01  1.0853280e-01 -1.4518151e-01
 -2.4820995e-01 -1.5435018e-01 -3.9162114e-01 -1.8248059e-01]",congolese hip hop and rap
"[-8.75501060e+00  3.45202661e+00  2.73044167e+01 -1.60378858e-01
 -6.81832409e+00  6.07787073e-01  3.82419848e+00 -1.26419082e-01
  2.65012455e+00  9.73343179e-02 -1.32309484e+00 -2.83921033e-01
  2.18886232e+00 -2.11839244e-01  7.73920298e-01 -8.19580033e-02
 -5.17713487e-01 -7.43359551e-02  4.05863494e-01 -2.10729986e-02
 -1.81145415e-01 -4.93720099e-02 -5.53004265e-01 -3.17909345e-02
 -9.95149016e-02 -8.86527002e-02  8.07634518e-02 -3.13753188e-02
  2.50497367e-03 -1.28540367e-01 -2.20854834e-01 -9.96291339e-02
  4.44183081e-01 -1.19109869e-01 -6.35666609e-01 -1.15828671e-01
 -2.33768243e-02 -4.76712696e-02 -4.33053702e-01 -1.00486934e-01]",congolese hip hop and rap
"[ 3.19960713e+00  3.52801156e+00  2.44185410e+01 -6.08817004e-02
 -7.95003605e+00  3.13840002e-01  7.08846855e+00 -2.90903628e-01
  3.22113782e-01  1.35141313e-01  3.37465815e-02 -2.92377770e-01
  2.56127763e+00 -6.19036630e-02 -8.68199885e-01 -1.92785889e-01
  2.20874488e-01 -1.90049574e-01  3.32827657e-01 -1.67823553e-01
 -5.96290410e-01 -1.39778927e-01 -5.59721179e-02 -7.31984228e-02
  7.14473203e-02 -1.08638629e-01 -6.66304767e-01 -4.42744493e-02
  5.43318689e-02 -8.74396265e-02  6.78074453e-03 -3.11659221e-02
 -5.17133176e-01 -4.54762913e-02  2.27392819e-02 -6.74317256e-02
 -4.29772317e-01 -8.48726928e-02 -6.36667728e-01 -1.17299035e-01]",congolese hip hop and rap
"[-1.60525208e+01  3.30431771e+00  2.87381020e+01 -3.85520816e-01
 -3.99342322e+00  3.67686361e-01  1.40468538e+00 -3.85857314e-01
  4.71037292e+00  8.58039781e-02 -1.64039999e-01  4.60139854e-04
 -1.06749281e-01 -2.16407895e-01  9.43169296e-01 -1.39596760e-01
 -1.80027738e-01 -1.24999255e-01 -2.31902540e-01 -1.74899608e-01
  5.00024736e-01 -1.60681516e-01  3.73959988e-01 -1.70181394e-01
 -1.03543207e-01 -2.09123686e-01  6.93242773e-02 -9.25820619e-02
  4.98078138e-01 -2.20443264e-01 -2.13952228e-01 -8.75685886e-02
  8.74280930e-03 -1.27160326e-01 -4.71703857e-01 -1.60898194e-01
 -7.68911466e-02 -5.34333028e-02 -3.53798538e-01 -1.41099110e-01]",congolese hip hop and rap
"[-3.0456070e+01  8.6199656e+00  2.7799353e+01 -8.6265638e-02
  7.0927868e+00  1.7206675e+00 -2.4827702e+00  1.6984231e+00
 -1.6709095e+00  4.1763395e-01  1.6227119e+00  7.9669515e-03
  1.9821776e+00  3.2222012e-01 -3.0833635e-02  4.4670907e-01
 -1.4941530e+00  2.0942177e-01 -1.3962822e+00  2.9541748e-02
 -6.3482362e-01  6.6808984e-02  4.5988940e-02  1.3748935e-01
  4.2715406e-01  5.6189198e-02  4.2651716e-01 -8.7181926e-02
 -2.0600590e-01 -1.7265224e-01 -9.2425770e-01  1.9450399e-01
  4.9098372e-01  2.1551711e-02 -2.4097429e-01 -3.2903224e-01
  8.1558131e-02  3.5694730e-02 -3.0646840e-01  3.7613835e-02]",congolese hip hop and rap
"[-5.4567413e+00  2.0751486e+00  2.5553196e+01  1.2634002e+00
 -7.5737548e+00  2.6776314e-01  6.6229753e+00 -6.0537589e-01
  3.3448908e+00 -1.2781884e-01 -9.8532593e-01 -2.8245571e-01
  1.9719311e+00 -8.9754663e-02 -8.6737998e-02 -1.8408866e-01
 -5.1937681e-01 -2.3207854e-01  6.5583134e-01 -1.6689463e-01
 -2.4921733e-01 -2.1391074e-01 -3.3649826e-01 -1.2929372e-01
  1.9032115e-01 -2.0451720e-01 -1.0165952e-01 -2.0206621e-01
 -1.4277343e-01 -2.0109792e-01  1.8166002e-02 -1.8204311e-01
  2.6488302e-02 -1.6988350e-01 -6.4684767e-01 -1.7327505e-01
  1.7791460e-01 -1.8465959e-01 -3.8608184e-01 -2.2603102e-01]",congolese hip hop and rap
"[ 3.03200388e+00  3.04259920e+00  2.43959293e+01 -3.17913115e-01
 -7.68108416e+00  2.09327117e-01  6.50270414e+00 -4.02734905e-01
  1.95279145e+00  1.59467161e-01 -4.81262654e-01 -2.55979955e-01
  2.78352141e+00 -9.04103443e-02  4.36868876e-01 -1.28583923e-01
  1.37561753e-01 -1.38698384e-01  9.51483667e-01 -1.19374163e-01
  1.19896710e-01 -1.37996137e-01 -1.59997325e-02 -1.16618745e-01
  3.44327867e-01 -1.45021424e-01 -9.23558176e-02 -7.99215734e-02
  3.36045064e-02 -1.60292432e-01 -2.53273379e-02 -1.13350660e-01
 -1.90745473e-01 -1.29721448e-01 -8.14368546e-01 -1.32123530e-01
 -1.89256687e-02 -9.80671346e-02 -6.72910571e-01 -1.21075667e-01]",congolese hip hop and rap
"[-1.58934555e+01  5.15067482e+00  2.19856415e+01  3.74816626e-01
 -7.62705326e+00  2.80992240e-01  6.54862547e+00 -5.36887646e-01
  1.96998060e+00 -2.78462097e-02 -9.85650539e-01 -2.56332427e-01
  2.33202004e+00 -8.99791121e-02 -3.51187468e-01 -2.19461881e-02
 -3.97357881e-01 -5.34349903e-02  7.46630907e-01 -2.88045425e-02
 -2.47649953e-01 -8.00734386e-02 -3.71331334e-01 -7.64309019e-02
  2.06517771e-01 -1.67530045e-01 -1.22940585e-01 -1.28605828e-01
 -2.24162951e-01 -2.34020546e-01  1.24802858e-01 -2.13661358e-01
  5.43252081e-02 -2.39857897e-01 -6.43252313e-01 -2.50571072e-01
  3.78714949e-01 -2.29402959e-01 -3.35645705e-01 -2.50565469e-01]",congolese hip hop and rap
"[-6.7446523e+00  3.4851575e+00  2.5536356e+01  4.3242235e-02
 -5.9406495e+00  2.3107314e-01  5.6488214e+00 -5.5538690e-01
  2.1312380e+00 -1.3251697e-02 -2.9734831e-02 -3.1132716e-01
  2.9719477e+00 -1.5725601e-01  2.4120703e-01 -1.3899353e-01
  2.4510171e-01 -1.5319467e-01  6.4507794e-01 -8.8341564e-02
 -6.6722459e-01 -8.7177515e-02 -2.9009324e-01 -5.0214335e-02
  9.1086715e-02 -1.2194414e-01 -3.6734706e-01 -6.1796866e-02
  2.3144355e-01 -1.3076019e-01 -2.5689328e-01 -9.6435927e-02
 -3.5405889e-01 -1.0760151e-01 -5.4761577e-01 -9.3689539e-02
 -2.3824202e-01 -8.7435231e-02 -5.0103414e-01 -1.2538534e-01]",congolese hip hop and rap
"[-1.58934555e+01  5.15067482e+00  2.19856415e+01  3.74816626e-01
 -7.62705326e+00  2.80992240e-01  6.54862547e+00 -5.36887646e-01
  1.96998060e+00 -2.78462097e-02 -9.85650539e-01 -2.56332427e-01
  2.33202004e+00 -8.99791121e-02 -3.51187468e-01 -2.19461881e-02
 -3.97357881e-01 -5.34349903e-02  7.46630907e-01 -2.88045425e-02
 -2.47649953e-01 -8.00734386e-02 -3.71331334e-01 -7.64309019e-02
  2.06517771e-01 -1.67530045e-01 -1.22940585e-01 -1.28605828e-01
 -2.24162951e-01 -2.34020546e-01  1.24802858e-01 -2.13661358e-01
  5.43252081e-02 -2.39857897e-01 -6.43252313e-01 -2.50571072e-01
  3.78714949e-01 -2.29402959e-01 -3.35645705e-01 -2.50565469e-01]",congolese hip hop and rap
"[-3.0582321e-01  4.5253129e+00  2.6520811e+01 -2.7178821e-01
 -5.9359741e+00  9.0814330e-02  5.9252629e+00 -8.2957953e-01
  2.8421650e+00 -1.8262686e-02 -1.2602040e+00 -2.9507437e-01
  1.7210602e+00 -9.6238129e-02 -3.1073517e-01 -4.5647155e-02
 -5.5673903e-01 -1.4552499e-01  9.3986082e-01 -1.1572125e-01
  1.4205255e-01 -1.3572019e-01 -6.7282878e-02 -1.1024359e-01
  5.4040653e-01 -1.4666229e-01  1.9690700e-01 -1.0355959e-01
 -1.8289981e-02 -1.8017150e-01 -1.4492008e-01 -1.3325481e-01
  2.3962626e-01 -1.7441478e-01 -8.8278240e-01 -1.5929839e-01
  1.3740058e-01 -1.7665367e-01 -5.0009429e-01 -1.7417379e-01]",congolese hip hop and rap
"[-1.10822001e+01  3.26762176e+00  2.63647804e+01 -7.86658227e-01
 -1.47995448e+00  9.98483300e-02  5.73281765e+00 -5.69491208e-01
  1.07426524e+00  5.83683327e-02 -2.40461469e-01 -2.35337988e-01
  1.76979625e+00 -6.02203682e-02 -3.18400800e-01 -8.54067132e-02
 -1.91061273e-01 -1.05448455e-01  9.75465477e-02 -1.05326757e-01
 -4.84222442e-01 -1.21897988e-01  5.19477166e-02 -1.07602224e-01
  3.76931727e-01 -1.83477327e-01 -4.31061715e-01 -4.14593890e-02
 -3.48363072e-01 -2.46803030e-01 -3.23563159e-01  1.38199693e-02
 -1.86589003e-01 -2.47027855e-02 -5.19653022e-01 -2.57050872e-01
 -8.52227807e-02 -4.45192941e-02 -4.13738668e-01 -1.63022131e-01]",congolese hip hop and rap
"[-1.91183872e+01  4.36913586e+00  2.80294228e+01  5.44656634e-01
  1.66116357e-01  1.76251006e+00  1.50875187e+00 -1.90862462e-01
  2.71604800e+00 -3.38613570e-01 -2.56151915e-01 -3.00689548e-01
  1.04853690e+00 -3.58104944e-01  8.62495244e-01 -1.01756155e-01
 -9.48081762e-02 -1.30707189e-01  7.61570990e-01 -1.24196351e-01
  4.60608810e-01 -4.01401743e-02 -4.51160297e-02 -1.39424026e-01
  3.06745172e-01 -1.24810897e-01  1.09561041e-01 -7.11219900e-06
 -1.17822848e-01 -2.55958498e-01 -4.31416184e-01 -2.11453401e-02
  2.66534805e-01 -1.57375023e-01 -1.09738231e+00 -2.27634549e-01
 -7.77344853e-02 -1.15609586e-01 -4.71611321e-01 -1.39268428e-01]",congolese hip hop and rap
"[ 4.075321    4.8417487  23.658325    0.31073773 -7.0554414   0.3283738
  8.470242   -0.5115811   0.22390957  0.06953149 -0.23088227 -0.4614167
  2.4332683  -0.14832266 -1.0609863  -0.29710445  0.04688732 -0.20713687
  0.28898594 -0.2024788  -0.593325   -0.17965262 -0.23199436 -0.12385901
  0.05908656 -0.14531718 -0.49387628 -0.07706637  0.15634474 -0.11764438
 -0.05529564 -0.06064168 -0.6617314  -0.07432564 -0.07426909 -0.06378131
 -0.424257   -0.03240833 -0.5746752  -0.06749927]",congolese hip hop and rap
"[-1.03585167e+01  3.46681428e+00  2.48655014e+01  7.95287341e-02
 -5.38123703e+00 -2.21048854e-02  5.87833738e+00 -6.51026964e-01
  2.29307008e+00  3.14054154e-02  1.69994816e-01 -2.55924106e-01
  3.00017405e+00 -4.13791724e-02  8.95258319e-03 -6.99604377e-02
  4.02932733e-01 -1.43502876e-01  1.20623958e+00 -1.01345263e-01
 -3.89332324e-01 -1.78990155e-01 -1.06369898e-01 -1.41514242e-01
  3.45054895e-01 -1.99828461e-01 -3.61780167e-01 -1.18089594e-01
  1.86336696e-01 -2.07476437e-01 -6.11190610e-02 -9.27051082e-02
 -4.16342616e-02 -1.54349253e-01 -4.12434101e-01 -1.54946253e-01
  2.24969978e-03 -1.26599595e-01 -6.43880486e-01 -1.66105777e-01]",congolese hip hop and rap
"[ 1.73882675e+00  6.94406891e+00  1.59226980e+01  2.21869755e+00
 -7.52817965e+00  1.67096412e+00  8.46768093e+00  5.95347583e-01
 -3.15512848e+00  8.73825490e-01  1.58779776e+00  2.87214309e-01
  1.60304844e+00  3.92021745e-01 -1.75475729e+00  1.33124188e-01
  1.15228045e+00  2.16102883e-01 -3.41014624e-01  4.17548567e-02
 -8.09048355e-01  1.72133118e-01  1.07896246e-01 -8.51158053e-03
 -2.75661703e-02  1.24177918e-01 -1.66464067e+00 -5.71821518e-02
  1.34341979e+00  9.26942602e-02 -1.15855515e+00 -1.02430508e-01
 -2.54789084e-01  5.68646379e-02  7.38644779e-01 -1.31064698e-01
 -1.73640430e+00  3.08327265e-02  8.26440990e-01 -1.34007916e-01]",congolese hip hop and rap
"[-2.71417212e+00  2.47465059e-01  2.48679829e+01 -1.66599989e-01
 -5.89617586e+00  2.56654531e-01  7.47373915e+00 -8.71971175e-02
  1.28383338e+00  7.24890828e-02 -5.36613584e-01 -9.83684957e-02
  2.31741333e+00  2.51206313e-03 -6.13420129e-01 -6.06185151e-03
 -3.16754729e-01 -1.58607848e-02  5.19474030e-01 -3.32485400e-02
 -5.18026948e-01 -1.13570757e-01 -3.19683671e-01 -7.11220205e-02
  2.56650895e-01 -1.60376012e-01 -3.51841897e-01 -4.23479453e-02
 -1.24170527e-01 -8.78636613e-02 -4.95765395e-02  2.38780188e-03
 -4.34027426e-02 -4.13968926e-03 -3.40954214e-01 -1.00641459e-01
 -1.14469565e-01 -7.56490603e-02 -5.61949015e-01 -1.59736156e-01]",congolese hip hop and rap
"[-1.54681587e+01  3.72446537e+00  2.12955589e+01 -3.12240303e-01
 -5.06349325e+00 -2.92872369e-01  6.42381763e+00 -6.95949793e-01
  9.59244847e-01 -2.05536962e-01 -2.29272887e-01 -3.31858993e-01
  2.48528504e+00 -1.01604998e-01 -6.19602799e-01 -9.38770622e-02
  1.22830011e-01 -7.57484585e-02  7.38147259e-01 -2.90663615e-02
 -3.67463529e-01 -7.60065988e-02  1.31901249e-01 -2.50659473e-02
  2.18081728e-01 -9.55360681e-02 -7.15698302e-01 -1.83788557e-02
  1.10738814e-01 -9.10882726e-02 -2.55955786e-01 -4.09283116e-02
 -2.56492287e-01 -5.50400950e-02 -8.64699334e-02 -8.48697051e-02
 -5.92513084e-02 -4.15173769e-02 -5.20776629e-01 -1.15837120e-01]",congolese hip hop and rap
"[ 7.68606520e+00  1.63436353e+00  2.35073338e+01 -8.75030085e-02
 -9.92225552e+00  2.73423702e-01  6.96217823e+00 -1.71986490e-01
  1.68991172e+00  2.17946991e-01 -1.97905076e+00 -9.37950313e-02
  2.08286071e+00  4.40892763e-02  6.74912691e-01 -1.80057418e-02
 -3.33924323e-01  1.69523228e-02  8.41927767e-01 -4.11642017e-03
  2.67113507e-01 -3.52777988e-02 -1.90365106e-01 -1.20591733e-03
  4.68874760e-02 -5.05431034e-02  3.15175414e-01 -4.70856344e-03
 -1.61600247e-01 -5.19503132e-02 -4.06658828e-01 -6.16922565e-02
  4.92231101e-01 -6.58343732e-02 -1.09985995e+00 -8.90373513e-02
  4.29548733e-02 -7.91323856e-02 -2.71637052e-01 -1.18311375e-01]",congolese hip hop and rap
