features,label
"[ 4.30697632e+00  6.66534185e-01  2.15018139e+01 -5.80518954e-02
 -8.99725056e+00  9.14184079e-02  7.87398624e+00  1.23986155e-02
 -9.66605484e-01  1.71496853e-01 -2.59287775e-01 -4.38643768e-02
  1.97532034e+00  4.15363386e-02 -8.34692478e-01  1.55679900e-02
  2.51352489e-01  6.42418936e-02  4.91809845e-01  2.46980879e-02
 -4.29293066e-01  7.34624919e-03 -1.29178077e-01 -3.23584341e-02
  3.68191183e-01 -1.08472236e-01 -4.70403016e-01 -1.88669767e-02
  5.54138534e-02 -4.66085523e-02  3.94607335e-02 -4.05641198e-02
 -5.84522307e-01 -5.59686348e-02  2.02799544e-01 -1.42121175e-02
 -4.84904408e-01 -7.15433657e-02 -3.81272733e-01 -1.39696494e-01]",congolese hip hop and rap
"[-8.2253418e+00  4.5619545e+00  2.4413658e+01 -2.1644190e-01
 -3.9926302e+00  8.7059289e-02  7.5118866e+00 -7.5396973e-01
  3.1072674e+00 -1.7350018e-02 -3.9541525e-01 -2.7859616e-01
  2.5885494e+00 -1.4273188e-01  3.9994359e-02 -4.9007159e-02
 -3.6395365e-01 -8.0140598e-02  7.4826932e-01 -3.6578279e-02
 -1.9327401e-01 -2.9065549e-02 -2.6203784e-01 -1.0035055e-02
  2.4465343e-01 -7.8195602e-02 -3.2941481e-01  4.7413751e-02
 -1.0971039e-01 -9.4614126e-02 -1.6040759e-01  3.2980613e-02
  7.9879150e-02 -8.3525322e-02 -7.3963273e-01 -7.5252339e-02
 -2.4641944e-02 -1.2030399e-01 -6.9868922e-01 -1.6620249e-01]",congolese hip hop and rap
"[ 1.73882675e+00  6.94406891e+00  1.59226980e+01  2.21869755e+00
 -7.52817965e+00  1.67096412e+00  8.46768093e+00  5.95347583e-01
 -3.15512848e+00  8.73825490e-01  1.58779776e+00  2.87214309e-01
  1.60304844e+00  3.92021745e-01 -1.75475729e+00  1.33124188e-01
  1.15228045e+00  2.16102883e-01 -3.41014624e-01  4.17548567e-02
 -8.09048355e-01  1.72133118e-01  1.07896246e-01 -8.51158053e-03
 -2.75661703e-02  1.24177918e-01 -1.66464067e+00 -5.71821518e-02
  1.34341979e+00  9.26942602e-02 -1.15855515e+00 -1.02430508e-01
 -2.54789084e-01  5.68646379e-02  7.38644779e-01 -1.31064698e-01
 -1.73640430e+00  3.08327265e-02  8.26440990e-01 -1.34007916e-01]",congolese hip hop and rap
"[-6.83976555e+00  6.64852667e+00  2.55753365e+01  1.67968047e+00
 -6.27442408e+00  1.83793259e+00  3.78903151e+00  2.63724513e-02
  2.81292701e+00  8.19209576e-01 -1.47294533e+00  2.51585335e-01
  1.06115532e+00 -5.35240048e-04 -1.90653130e-01  1.11040302e-01
 -6.27101600e-01 -4.32962459e-03  3.78453523e-01  4.16686498e-02
 -3.30556273e-01 -5.23802936e-02 -2.46387646e-01 -1.19894303e-01
  3.38081867e-01 -7.69750997e-02 -6.84162602e-02 -2.45321020e-02
 -6.27535582e-02 -2.18335971e-01  1.05030276e-01 -1.15733899e-01
 -2.80525349e-02 -1.27989471e-01 -7.44887829e-01 -9.72918570e-02
  2.79282629e-01 -1.97584599e-01 -4.96109277e-01 -1.50296047e-01]",congolese hip hop and rap
"[-6.24182     2.9680202  24.0804     -0.05957906 -9.339322    0.18328236
  5.7121515  -0.4962932   1.9445027  -0.04362487 -1.1320161  -0.24698606
  2.1531913  -0.10391196  0.04632111 -0.13283354 -0.5463962  -0.10439458
  0.38677067 -0.11348294 -0.1955716  -0.17091528 -0.14502224 -0.19166781
  0.22910318 -0.22669154 -0.05528242 -0.17085128 -0.3347215  -0.1668609
  0.05378704 -0.13740587 -0.11026417 -0.11316963 -0.69805866 -0.08115911
  0.02801809 -0.10278896 -0.43528122 -0.1294914 ]",congolese hip hop and rap
"[-2.2534595e+00  3.3955300e+00  2.5694180e+01 -1.6789156e-01
 -6.8385711e+00  3.3573547e-01  6.1718149e+00 -4.1643697e-01
  1.6198993e+00 -2.0278119e-02 -7.6826966e-01 -2.9564893e-01
  2.2265642e+00 -1.0804350e-01 -5.0550379e-02 -1.8265738e-01
  7.5146154e-02 -2.5821191e-01  7.6567852e-01 -2.2898629e-01
 -1.0775120e-01 -2.4241470e-01 -2.1878798e-03 -2.6179600e-01
  3.0358490e-01 -2.4323475e-01 -2.8093189e-01 -1.1854677e-01
 -6.7031421e-02 -1.2547149e-01 -1.4102502e-02 -6.8064943e-02
 -2.1401879e-01 -6.0271483e-02 -2.9157388e-01 -5.2853633e-02
 -5.4638438e-02 -1.0039217e-01 -5.4967600e-01 -1.4183737e-01]",congolese hip hop and rap
"[-6.097383    2.0815988  25.423235   -0.65806776 -5.4438486   0.3607881
  6.701875    0.14936855 -0.7537987   0.19054537 -0.40708652 -0.26584423
  2.713246   -0.14348105 -0.9683516  -0.06611469  0.29579577 -0.16201368
  0.7258431  -0.22838719 -0.38132355 -0.22140081  0.19189075 -0.14605212
  0.25168642 -0.16628231 -0.47119588 -0.16609931  0.41327804 -0.18922122
 -0.13431062 -0.1446229  -0.3713165  -0.15297146 -0.03989921 -0.15201446
 -0.21735804 -0.14907475 -0.44534373 -0.13698025]",congolese hip hop and rap
"[-2.865744    4.6331916  21.982597    0.4364285  -7.2807407   0.17350788
  8.785225   -0.42095798  0.5135131   0.0898388  -0.6047633  -0.32211065
  1.2636443   0.04582452 -1.4885269  -0.14319734  0.16768928 -0.09529779
  0.03579461 -0.07236305 -0.8619715  -0.10398852  0.15073892 -0.07976469
  0.28042623 -0.10748629 -0.4511197  -0.07382857  0.28941545 -0.12496403
 -0.11276823 -0.0517245  -0.48114398 -0.12275908  0.1132294  -0.08427362
 -0.55607986 -0.08651014 -0.48510158 -0.12695782]",congolese hip hop and rap
"[-15.66376      5.7844367   19.939913     1.2217373   -6.1229715
   0.3914448    8.563653    -0.06719689  -0.11765325   0.11123867
   0.6735344   -0.32397184   2.7044876   -0.02237397  -0.9302207
  -0.24784423   0.47268593  -0.19202575   0.13451765  -0.15749514
  -0.22360604  -0.22297601   0.34330758  -0.16868748   0.55549204
  -0.21220666  -0.23502338  -0.11920767   0.72425044  -0.24266104
  -0.14590189  -0.07798333  -0.78512037  -0.17371291   0.45102346
  -0.17868184  -0.7886614   -0.06966586  -0.24091645  -0.24249795]",congolese hip hop and rap
"[-3.8993261e+00  2.8291249e+00  2.1397268e+01  4.1105902e-01
 -8.2052498e+00  1.8351908e-01  8.3824978e+00 -2.9059362e-01
 -2.7487305e-01  4.5710944e-02 -5.3175539e-02 -3.0437514e-01
  2.6044877e+00 -1.4650165e-01 -3.3801827e-01 -2.5568658e-01
  9.4154519e-01 -2.4155436e-01  1.0177902e+00 -2.5254813e-01
  2.0698432e-02 -2.7986237e-01  2.3928377e-01 -2.1011043e-01
  4.1453052e-01 -2.5949755e-01 -4.0067071e-01 -1.5941945e-01
  2.8670803e-01 -2.1548107e-01  3.9478304e-04 -1.5986717e-01
 -3.6685923e-01 -1.7532852e-01  9.9508338e-02 -2.0077546e-01
 -2.8935573e-01 -1.8625671e-01 -4.1271648e-01 -2.6281601e-01]",congolese hip hop and rap
"[-1.48358850e+01  5.05677271e+00  2.96123238e+01  7.29530901e-02
 -3.02185726e+00  1.63495994e+00  1.10734431e-02 -4.37491924e-01
  5.94798136e+00  2.36384034e-01  7.04289436e-01  3.73684496e-01
 -1.08641160e+00 -2.88426399e-01  1.10680211e+00 -2.45952234e-02
  5.45609057e-01  2.08590608e-02 -7.07826674e-01 -1.87880918e-01
 -2.76060462e-01 -4.66659442e-02  3.13247591e-01 -8.59156698e-02
  4.97836955e-02 -1.62308037e-01 -4.39885795e-01  1.92099717e-02
 -1.11011446e-01 -2.05937609e-01  9.66718271e-02 -5.10000587e-02
 -7.91187957e-02 -6.53384849e-02 -9.14921165e-01 -1.23140715e-01
  2.20151376e-02 -1.23842329e-01 -2.81146407e-01 -7.96563774e-02]",congolese hip hop and rap
"[-1.8309719e+01  7.3637986e+00  2.0318645e+01  2.2453377e+00
 -6.0928597e+00  1.7940468e+00  6.3273945e+00  6.4031345e-01
  4.7967008e-01  9.0261477e-01 -1.5409766e+00  3.0727780e-01
  2.3460610e+00  3.1183359e-01 -2.2218637e-01  1.7741154e-01
  1.1633475e-01  1.5088962e-02  4.1660264e-01  4.1333348e-02
 -6.4259864e-02 -8.4109582e-02  8.6077225e-01 -5.0677571e-02
  2.6814908e-01 -1.0960100e-01 -7.6827389e-01 -1.3549059e-02
  1.5078323e-01 -8.1593350e-02 -2.9039374e-01  6.1876038e-03
  2.7747479e-01 -3.2984477e-02 -4.2200723e-01 -6.0934510e-02
 -3.3373532e-01 -3.8727305e-03 -3.4174001e-01 -1.1192740e-01]",congolese hip hop and rap
"[-8.78816843e-01  4.42863083e+00  2.64988918e+01  3.01800758e-01
 -8.50372028e+00  2.87054330e-01  4.37949181e+00 -2.89744258e-01
  2.65235090e+00  3.47586066e-01 -3.54144275e-01 -3.69857192e-01
  1.90086329e+00  1.32363990e-01 -7.91221023e-01  7.06907436e-02
 -2.94637650e-01 -1.06423356e-01  7.38401473e-01  4.30634096e-02
 -8.16157401e-01 -7.25126341e-02 -4.23099011e-01 -5.33399545e-02
  5.41714370e-01 -1.05693519e-01 -5.11139274e-01  2.18563825e-02
 -6.85623229e-01 -1.44993559e-01  1.89913303e-01 -6.72064126e-02
  1.95737302e-01 -1.90944392e-02 -1.03480601e+00 -1.47814170e-01
  8.51955041e-02 -3.92964743e-02 -4.56686527e-01 -1.14360832e-01]",congolese hip hop and rap
"[-6.12369537e+00  2.54285312e+00  2.55572357e+01 -2.02361360e-01
 -8.38176727e+00  6.41569912e-01  5.10174608e+00 -1.38674796e-01
  1.56239128e+00  1.74053367e-02 -4.69766289e-01 -9.81015265e-02
  1.74324751e+00  2.44002766e-03 -4.24169272e-01 -1.69146135e-01
  6.91695333e-01 -1.37372226e-01  5.99777222e-01 -1.35542704e-02
 -7.31156468e-01 -1.34480312e-01 -1.98706836e-02 -1.36500239e-01
  3.68210196e-01 -9.97225493e-02 -5.13080537e-01 -2.70895772e-02
 -4.27748486e-02 -1.82316601e-01  3.81927013e-01 -1.09800369e-01
 -2.48191372e-01 -5.52777946e-02 -5.17385125e-01 -1.17426835e-01
  2.81076640e-01 -1.24966532e-01 -5.32441735e-01 -1.24684826e-01]",congolese hip hop and rap
"[-1.46517134e+01  2.86547232e+00  2.45190086e+01 -2.45010424e-02
 -6.10539055e+00  2.16382295e-01  5.60516548e+00 -2.21723139e-01
  1.73265409e+00 -4.09554876e-02 -4.48549569e-01 -2.07674742e-01
  2.67028809e+00 -1.62834078e-01 -1.52213544e-01 -1.63569868e-01
 -1.61745101e-01 -2.03389689e-01  7.65069962e-01 -1.76478267e-01
  4.76219654e-02 -1.78214356e-01  2.27032557e-01 -1.43492907e-01
  2.01539814e-01 -1.67160600e-01 -5.48056781e-01 -1.07714124e-01
 -1.77004412e-01 -1.51089936e-01 -1.86514378e-01 -7.69471675e-02
 -9.81565714e-02 -7.90609270e-02 -1.24080993e-01 -1.23084597e-01
 -1.51836395e-01 -1.09848760e-01 -6.03394985e-01 -1.62257135e-01]",congolese hip hop and rap
"[ 7.3541999e-01  3.8663614e+00  2.4476408e+01 -1.8667459e-01
 -7.5076880e+00  1.9821779e-01  7.3069520e+00 -4.2990321e-01
  1.1751935e+00  1.9346905e-01 -6.3078594e-01 -2.2981654e-01
  2.2696469e+00  4.3864450e-03 -6.5191329e-01 -1.0495241e-01
 -7.7656984e-02 -1.0361460e-01  3.9361694e-01 -9.1886871e-02
 -4.4954896e-01 -1.2136071e-01 -1.9693638e-01 -8.5207336e-02
  2.4786428e-01 -1.3967651e-01 -3.4149727e-01 -6.7909189e-02
 -1.4011142e-01 -1.2953123e-01  2.1242994e-01 -8.6495146e-02
 -4.3905059e-01 -9.3129344e-02 -2.6257634e-01 -1.0438611e-01
 -1.1552874e-01 -8.8196315e-02 -9.1079128e-01 -1.0446732e-01]",congolese hip hop and rap
"[-3.3298090e+00  2.7174098e+00  2.4245661e+01  7.2533661e-01
 -7.4973660e+00  3.0923801e-02  7.1353469e+00 -1.0315468e-01
  1.9130361e-01  1.8451074e-02  2.1028876e-02 -3.7871608e-01
  2.3429081e+00  6.4203413e-03 -3.2070494e-01 -4.8895368e-01
  1.0286349e+00 -2.0391931e-01  1.9541672e-01 -2.1981921e-02
 -8.6696172e-01 -1.9174261e-01  5.5280614e-01 -2.5888488e-01
  5.3330427e-01 -1.3777357e-01 -8.4408909e-01 -1.1462493e-01
  4.4141644e-01 -2.6090634e-01 -2.5219560e-01  3.4950578e-03
 -3.7174979e-01 -2.8240255e-01 -3.9384831e-02 -3.8463362e-02
 -5.5479699e-01 -1.5209837e-01  1.3247441e-02 -2.5317430e-01]",congolese hip hop and rap
"[-1.8703611e+01  4.6690602e+00  3.1048864e+01 -1.2002497e+00
  4.4965725e+00  1.6688444e-01 -1.0669755e+00 -5.3766567e-01
  1.2232745e+00 -2.1093105e-01  1.8956357e+00  1.4162606e-01
  1.2161816e+00  1.8800741e-01 -1.1976193e-01  2.7826017e-01
 -1.2286499e+00  2.4380191e-01 -4.5080093e-01  4.1087229e-02
  7.8328484e-01 -9.8273195e-02  1.9975969e-01 -1.3457978e-01
 -7.8351635e-01 -1.4958309e-01 -1.1647881e-01 -1.6539441e-01
  6.9160008e-01 -3.1733102e-01 -2.8683308e-01  6.2629543e-03
  5.2212633e-02 -6.4254902e-02 -7.7505177e-01 -1.8481751e-01
  1.4482203e-01 -3.4701254e-02 -3.4510699e-01 -1.0617902e-01]",congolese hip hop and rap
"[-1.61061525e+00  2.06115341e+00  2.77736340e+01 -3.28189999e-01
 -9.63640881e+00  1.00006604e+00  3.91701722e+00  3.95831019e-01
  1.95608127e+00  2.46683732e-01 -1.50483954e+00 -2.05867767e-01
  2.14974380e+00 -2.13545430e-02  5.99347889e-01 -1.17059842e-01
 -3.13278377e-01 -2.67493427e-01  5.43193638e-01 -2.08571404e-01
 -6.75868541e-02 -2.62077957e-01 -1.94631055e-01 -2.69366235e-01
  2.39110738e-01 -2.28734061e-01  1.31061539e-01 -2.88286991e-02
 -3.20139110e-01 -1.86546788e-01 -1.16324484e-01 -2.70229906e-01
  2.59120286e-01 -1.40171826e-01 -7.97840118e-01 -9.34632197e-02
 -6.81824833e-02 -1.04154028e-01 -2.40414992e-01 -1.69921085e-01]",congolese hip hop and rap
"[-1.60943997e+00  2.05831051e+00  2.77726536e+01 -3.21211785e-01
 -9.63873768e+00  1.00127518e+00  3.92114258e+00  3.95935476e-01
  1.95209837e+00  2.47428298e-01 -1.50086653e+00 -2.07561776e-01
  2.15080142e+00 -2.15971377e-02  5.95826983e-01 -1.18140556e-01
 -3.08319479e-01 -2.68343896e-01  5.44056773e-01 -2.06909522e-01
 -7.05265775e-02 -2.63016284e-01 -1.94355845e-01 -2.70098716e-01
  2.40514979e-01 -2.26758987e-01  1.25710472e-01 -2.75556482e-02
 -3.13961804e-01 -1.86741516e-01 -1.17511109e-01 -2.69792199e-01
  2.67344564e-01 -1.40124053e-01 -8.05020332e-01 -9.28901881e-02
 -6.50582910e-02 -1.05184861e-01 -2.40256384e-01 -1.68765530e-01]",congolese hip hop and rap
"[-1.95499277e+00  3.19638991e+00  2.46407642e+01  1.08256966e-01
 -6.41979218e+00  3.38718817e-02  7.36000776e+00 -4.82280374e-01
  1.43582237e+00  7.28685455e-03 -9.05544758e-01 -3.12212378e-01
  2.42757869e+00 -1.38563931e-01 -5.13600260e-02 -2.40172416e-01
  2.67748415e-01 -2.86000043e-01  6.94394112e-01 -2.49180153e-01
 -3.65924954e-01 -2.37105444e-01  4.76997979e-02 -1.88849017e-01
  3.76116633e-01 -2.17047408e-01 -3.65451217e-01 -1.80864960e-01
  6.54806435e-01 -2.53535628e-01  1.29317611e-01 -2.30217025e-01
  3.32746506e-01 -2.29252636e-01 -1.33812442e-01 -2.35709563e-01
  3.02137434e-01 -1.77353412e-01 -3.93768996e-01 -2.07830474e-01]",congolese hip hop and rap
"[-4.1310592e+00  5.0010741e-01  2.5081575e+01  5.9099656e-01
 -5.5587802e+00  1.3356405e-01  7.8276320e+00 -2.4942400e-01
  1.4679426e+00  6.9527663e-02 -6.4856720e-01 -5.5609163e-02
  2.0487223e+00 -2.1239202e-02 -9.3230808e-01 -9.6823037e-02
 -3.6715132e-01 -8.7082744e-02  4.4301721e-01 -1.0330160e-01
 -5.3682786e-01 -1.4595865e-01 -2.1675694e-01 -6.4818583e-02
  6.5511435e-02 -1.7694116e-01 -5.1405555e-01 -1.0839935e-01
  2.6611507e-01 -1.5963495e-01  2.0735997e-01 -1.6727671e-01
 -7.5721763e-02 -1.3115263e-01 -2.2298132e-01 -1.6809964e-01
  7.3770583e-02 -1.7504863e-01 -4.5310336e-01 -1.9509171e-01]",congolese hip hop and rap
